game_id,game_name,price,top_prize,jackpots_left,jackpots_initial,total_printed,release_date,est_cards_left,advantage_ratio,edge_verdict,odds_1_in,ratio_best_case,ratio_worst_case,odds_best_case,odds_worst_case,procedures_url,last_updated
1474,SILVER & GOLD,5.0,1000000,1,3,9037260,2025-08-04,1444973,2.085,🔥 Strong Edge (Confirmed),1444973.0,9.908,1.032,304035.0,2918347.0,https://assets.national-lottery.co.uk/dam/jcr:3bde55da-ea09-424b-a57f-27127a209a6a,2026-09-06 10:28
1476,BONUS MUL TIPLIER,2.0,100000,3,4,13889760,2025-10-17,5293241,1.968,🔥 Strong Edge (Confirmed),1764414.0,3.86,1.294,899654.0,2683201.0,https://assets.national-lottery.co.uk/dam/jcr:669b8c9e-80bf-42fb-99ea-8ef8a0763e41,2026-09-06 10:28
1436,TRIPLE PAYOUT,3.0,300000,2,4,13138500,2025-10-17,3693093,1.779,🔥 Strong Edge (Confirmed),1846546.0,4.331,1.068,758378.0,3075362.0,https://assets.national-lottery.co.uk/dam/jcr:73fccd89-4ede-48fd-9f16-3dfe35ddbbfe,2026-09-06 10:28
1467,BINGO TRIPLER,3.0,300000,2,4,17819100,2025-10-17,5008761,1.779,🔥 Strong Edge (Confirmed),2504380.0,4.331,1.068,1028550.0,4170962.0,https://assets.national-lottery.co.uk/dam/jcr:c033d063-1dc4-4029-9a6a-19b70a3c8f8b,2026-09-06 10:28
1475,"£100,000 GOLD",1.0,100000,3,5,43889580,2025-10-17,15205323,1.732,🔥 Strong Edge (Confirmed),5068441.0,3.461,1.126,2535888.0,7798947.0,https://assets.national-lottery.co.uk/dam/jcr:dd1bb980-d849-41ed-8361-3cff51cb53c8,2026-09-06 10:28
1479,"£100,000 A MONTH FOR A YEAR",5.0,1200000,1,3,7437840,2025-10-17,1496571,1.657,🔥 High Edge,1496571.0,5.957,0.879,416172.0,2819654.0,https://assets.national-lottery.co.uk/dam/jcr:04706851-426e-4d32-91c8-b4c316183020,2026-09-06 10:28
1472,£1 MILLION,5.0,1000000,1,3,7214340,2025-10-17,1451601,1.657,🔥 High Edge,1451601.0,5.957,0.879,403666.0,2734926.0,https://assets.national-lottery.co.uk/dam/jcr:1eade861-9db2-42ee-b04b-fe119d8b0466,2026-09-06 10:28
1497,"£100,000 JACKPOT",1.0,100000,3,4,89584740,2026-03-13,48468630,1.386,🔥 High Edge,16156210.0,2.201,1.017,10175151.0,22016897.0,https://assets.national-lottery.co.uk/dam/jcr:22b5c037-fef8-4557-9c2b-96069945b697,2026-09-06 10:28
1487,4 WAYS TO WIN,3.0,300000,2,4,11007060,2026-01-15,3981595,1.382,🔥 High Edge,1990798.0,2.806,0.895,980800.0,3075442.0,https://assets.national-lottery.co.uk/dam/jcr:b5e60d13-7890-498d-aa31-4002a44f4a7f,2026-09-06 10:28
1458,LUCKY BONUS,3.0,300000,1,4,9098760,2025-10-17,1647689,1.381,🔥 High Edge,1647689.0,5.042,0.728,451182.0,3125109.0,https://assets.national-lottery.co.uk/dam/jcr:ee764bea-d06a-4b9f-a73e-9f370a7dc3ad,2026-09-06 10:28
1493,£2 MILLION GREEN,5.0,2000000,1,4,27436920,2025-10-17,4968537,1.381,🔥 High Edge,4968537.0,5.042,0.728,1360520.0,9423633.0,https://assets.national-lottery.co.uk/dam/jcr:28449dd7-94d5-4a69-b8b5-aeb4c998d568,2026-09-06 10:28
1516,3 IN 1,5.0,1000000,2,3,6906840,2026-03-26,3550956,1.297,🔥 High Edge,1775478.0,2.192,0.923,1050198.0,2495358.0,https://assets.national-lottery.co.uk/dam/jcr:bcbb9c86-e741-4c8a-89d3-b9b1fd7f3d0e,2026-09-06 10:28
1512,7 TIMES LUCKY,2.0,70000,4,5,14049120,2026-04-10,8805192,1.276,🔥 High Edge,2201298.0,1.827,0.995,1538236.0,2825112.0,https://assets.national-lottery.co.uk/dam/jcr:c40b4bb9-ddde-41e9-84a7-a6791f64e01b,2026-09-06 10:28
